"","y0","site","subpop","id","area","areaNext","ht","htNext","logA","logAp","flower_p","flower","surv"
"104",2014,"Den Hill Preserve","B",84,30,40,NA,NA,1.47712125471966,1.60205999132796,0,"FF",1
"105",2014,"Den Hill Preserve","B",85,195,220,NA,NA,2.29003461136252,2.34242268082221,0,"FF",1
"106",2014,"Den Hill Preserve","B",86,200,150,NA,70,2.30102999566398,2.17609125905568,1,"FF",1
"107",2014,"Den Hill Preserve","B",87,50,30,NA,NA,1.69897000433602,1.47712125471966,0,"FF",1
"108",2014,"Den Hill Preserve","B",88,55,30,NA,NA,1.74036268949424,1.47712125471966,0,"FF",1
"109",2014,"Den Hill Preserve","B",89,105,40,NA,NA,2.02118929906994,1.60205999132796,0,"FF",1
"110",2014,"Den Hill Preserve","B",90,125,150,NA,NA,2.09691001300806,2.17609125905568,0,"FF",1
"111",2014,"Den Hill Preserve","B",91,65,120,NA,NA,1.81291335664286,2.07918124604762,0,"FF",1
"112",2014,"Den Hill Preserve","B",92,30,70,NA,NA,1.47712125471966,1.84509804001426,0,"FF",1
"113",2014,"Den Hill Preserve","B",93,90,60,NA,56,1.95424250943932,1.77815125038364,1,"FF",1
"114",2014,"Den Hill Preserve","B",94,340,240,NA,99,2.53147891704225,2.38021124171161,1,"FF",1
"115",2014,"Den Hill Preserve","B",95,95,50,NA,NA,1.97772360528885,1.69897000433602,0,"FF",1
"116",2014,"Den Hill Preserve","B",96,95,NA,NA,NA,1.97772360528885,NA,0,"FF",0
"117",2014,"Den Hill Preserve","B",97,60,40,NA,NA,1.77815125038364,1.60205999132796,0,"FF",1
"118",2014,"Den Hill Preserve","B",98,140,180,NA,NA,2.14612803567824,2.25527250510331,0,"FF",1
"119",2014,"Den Hill Preserve","B",99,105,200,NA,NA,2.02118929906994,2.30102999566398,0,"FF",1
"120",2014,"Den Hill Preserve","B",100,260,230,NA,NA,2.41497334797082,2.36172783601759,0,"FF",1
"121",2014,"Den Hill Preserve","B",140,100,100,NA,NA,2,2,0,"FF",1
"122",2014,"Den Hill Preserve","B",141,40,100,NA,NA,1.60205999132796,2,0,"FF",1
"123",2014,"Den Hill Preserve","B",142,70,60,NA,NA,1.84509804001426,1.77815125038364,0,"FF",1
"124",2014,"Den Hill Preserve","B",143,190,200,NA,NA,2.27875360095283,2.30102999566398,0,"FF",1
"125",2014,"Den Hill Preserve","B",144,120,270,NA,NA,2.07918124604762,2.43136376415899,0,"FF",1
"126",2014,"Den Hill Preserve","B",145,140,100,NA,NA,2.14612803567824,2,0,"FF",1
"127",2014,"Den Hill Preserve","B",146,140,140,NA,NA,2.14612803567824,2.14612803567824,0,"FF",1
"128",2014,"Den Hill Preserve","B",147,220,700,NA,NA,2.34242268082221,2.84509804001426,0,"FF",1
"129",2014,"Den Hill Preserve","B",148,50,130,NA,NA,1.69897000433602,2.11394335230684,0,"FF",1
"130",2014,"Den Hill Preserve","B",149,230,240,NA,101,2.36172783601759,2.38021124171161,1,"FF",1
"131",2014,"Den Hill Preserve","B",150,110,160,NA,NA,2.04139268515822,2.20411998265592,0,"FF",1
"132",2014,"Den Hill Preserve","B",151,160,160,NA,NA,2.20411998265592,2.20411998265592,0,"FF",1
"133",2014,"Den Hill Preserve","B",152,250,350,NA,NA,2.39794000867204,2.54406804435028,0,"FF",1
"134",2014,"Den Hill Preserve","B",153,170,180,NA,NA,2.23044892137827,2.25527250510331,0,"FF",1
"135",2014,"Den Hill Preserve","B",154,160,200,NA,NA,2.20411998265592,2.30102999566398,0,"FF",1
"136",2014,"Den Hill Preserve","B",155,70,120,NA,NA,1.84509804001426,2.07918124604762,0,"FF",1
"137",2014,"Den Hill Preserve","B",156,110,120,NA,NA,2.04139268515822,2.07918124604762,0,"FF",1
"138",2014,"Den Hill Preserve","B",157,50,NA,NA,NA,1.69897000433602,NA,0,"FF",0
"139",2014,"Den Hill Preserve","B",158,210,340,NA,NA,2.32221929473392,2.53147891704225,0,"FF",1
"140",2014,"Den Hill Preserve","B",159,50,60,NA,NA,1.69897000433602,1.77815125038364,0,"FF",1
"141",2014,"Den Hill Preserve","B",160,50,90,NA,NA,1.69897000433602,1.95424250943932,0,"FF",1
"142",2014,"Den Hill Preserve","B",161,100,80,NA,NA,2,1.90308998699194,0,"FF",1
"143",2014,"Den Hill Preserve","B",162,70,50,NA,NA,1.84509804001426,1.69897000433602,0,"FF",1
"144",2014,"Den Hill Preserve","B",163,40,50,NA,NA,1.60205999132796,1.69897000433602,0,"FF",1
"145",2014,"Den Hill Preserve","B",164,150,250,NA,NA,2.17609125905568,2.39794000867204,0,"FF",1
"146",2014,"Den Hill Preserve","B",165,180,50,NA,NA,2.25527250510331,1.69897000433602,0,"FF",1
"147",2014,"Den Hill Preserve","B",166,470,950,NA,88,2.67209785793572,2.97772360528885,1,"FF",1
"148",2014,"Den Hill Preserve","B",167,130,200,NA,NA,2.11394335230684,2.30102999566398,0,"FF",1
"149",2014,"Den Hill Preserve","B",168,80,130,NA,NA,1.90308998699194,2.11394335230684,0,"FF",1
"150",2014,"Den Hill Preserve","B",169,60,50,NA,NA,1.77815125038364,1.69897000433602,0,"FF",1
"151",2014,"Den Hill Preserve","B",170,190,110,NA,NA,2.27875360095283,2.04139268515822,0,"FF",1
"152",2014,"Den Hill Preserve","B",171,210,70,NA,NA,2.32221929473392,1.84509804001426,0,"FF",1
"153",2014,"Den Hill Preserve","B",172,200,420,89,NA,2.30102999566398,2.6232492903979,0,"FL",1
"154",2014,"Den Hill Preserve","B",173,60,25,NA,NA,1.77815125038364,1.39794000867204,0,"FF",1
"155",2014,"Den Hill Preserve","B",174,80,50,NA,NA,1.90308998699194,1.69897000433602,0,"FF",1
"156",2014,"Den Hill Preserve","B",175,50,55,NA,NA,1.69897000433602,1.74036268949424,0,"FF",1
"157",2014,"Den Hill Preserve","B",176,60,25,NA,NA,1.77815125038364,1.39794000867204,0,"FF",1
"158",2014,"Den Hill Preserve","B",177,60,45,NA,NA,1.77815125038364,1.65321251377534,0,"FF",1
"159",2014,"Den Hill Preserve","B",178,370,260,NA,NA,2.56820172406699,2.41497334797082,0,"FF",1
"160",2014,"Den Hill Preserve","B",179,60,55,NA,NA,1.77815125038364,1.74036268949424,0,"FF",1
"161",2014,"Den Hill Preserve","B",180,120,200,NA,NA,2.07918124604762,2.30102999566398,0,"FF",1
"162",2014,"Den Hill Preserve","B",181,110,160,NA,NA,2.04139268515822,2.20411998265592,0,"FF",1
"163",2014,"Den Hill Preserve","B",182,140,80,NA,NA,2.14612803567824,1.90308998699194,0,"FF",1
"164",2014,"Den Hill Preserve","B",183,120,110,NA,NA,2.07918124604762,2.04139268515822,0,"FF",1
"165",2014,"Den Hill Preserve","B",184,50,60,NA,NA,1.69897000433602,1.77815125038364,0,"FF",1
"166",2014,"Den Hill Preserve","B",185,150,90,NA,NA,2.17609125905568,1.95424250943932,0,"FF",1
"167",2014,"Den Hill Preserve","B",186,60,50,NA,NA,1.77815125038364,1.69897000433602,0,"FF",1
"168",2014,"Den Hill Preserve","B",187,30,25,NA,NA,1.47712125471966,1.39794000867204,0,"FF",1
"169",2014,"Den Hill Preserve","B",188,80,100,NA,NA,1.90308998699194,2,0,"FF",1
"170",2014,"Den Hill Preserve","B",189,80,80,NA,NA,1.90308998699194,1.90308998699194,0,"FF",1
"171",2014,"Den Hill Preserve","B",190,170,210,NA,NA,2.23044892137827,2.32221929473392,0,"FF",1
"172",2014,"Den Hill Preserve","B",191,60,65,NA,NA,1.77815125038364,1.81291335664286,0,"FF",1
"173",2014,"Den Hill Preserve","B",192,190,175,NA,NA,2.27875360095283,2.24303804868629,0,"FF",1
"174",2014,"Den Hill Preserve","B",193,50,45,NA,NA,1.69897000433602,1.65321251377534,0,"FF",1
